date,amount,direction,category,description,merchant_name
2024-01-03,42000.00,inflow,revenue,Monthly subscriptions — January,Vaultly Clients
2024-01-06,5000.00,inflow,revenue,Consulting revenue,Vaultly Clients
2024-01-10,14000.00,outflow,cogs,Google Cloud Platform,Google Cloud
2024-01-12,2800.00,outflow,cogs,Stripe processing fees,Stripe Inc
2024-01-15,52000.00,outflow,payroll,Payroll — January (8 staff),Internal Payroll
2024-01-17,5500.00,outflow,rent,Office rent — Spadina Ave,Oxford Properties
2024-01-20,3200.00,outflow,software,Dev tools subscriptions,Software Vendors
2024-01-22,8000.00,outflow,marketing,Meta + Google Ads,Meta Google
2024-01-25,2200.00,outflow,payroll,Contractor — product design,Freelance
2024-01-28,650.00,outflow,utilities,Utilities January,Bell Canada
2024-02-03,39000.00,inflow,revenue,Monthly subscriptions — February,Vaultly Clients
2024-02-10,15200.00,outflow,cogs,Google Cloud Platform,Google Cloud
2024-02-12,2600.00,outflow,cogs,Stripe processing fees,Stripe Inc
2024-02-15,52000.00,outflow,payroll,Payroll — February,Internal Payroll
2024-02-17,5500.00,outflow,rent,Office rent — February,Oxford Properties
2024-02-20,3200.00,outflow,software,Dev tools February,Software Vendors
2024-02-22,9500.00,outflow,marketing,Meta + Google Ads,Meta Google
2024-02-25,3800.00,outflow,payroll,Contractor — engineering,Freelance
2024-02-28,650.00,outflow,utilities,Utilities February,Bell Canada
2024-03-03,36000.00,inflow,revenue,Monthly subscriptions — March,Vaultly Clients
2024-03-10,16000.00,outflow,cogs,Google Cloud Platform,Google Cloud
2024-03-12,2400.00,outflow,cogs,Stripe processing fees,Stripe Inc
2024-03-15,58000.00,outflow,payroll,Payroll — March + new engineer,Internal Payroll
2024-03-17,5500.00,outflow,rent,Office rent — March,Oxford Properties
2024-03-20,3200.00,outflow,software,Dev tools March,Software Vendors
2024-03-22,11000.00,outflow,marketing,Meta + Google + LinkedIn,Meta Google LinkedIn
2024-03-25,4200.00,outflow,payroll,Contractor — content,Freelance
2024-03-28,650.00,outflow,utilities,Utilities March,Bell Canada
2024-04-03,33000.00,inflow,revenue,Monthly subscriptions — April,Vaultly Clients
2024-04-10,17000.00,outflow,cogs,Google Cloud Platform,Google Cloud
2024-04-12,2200.00,outflow,cogs,Stripe processing fees,Stripe Inc
2024-04-15,58000.00,outflow,payroll,Payroll — April,Internal Payroll
2024-04-17,5500.00,outflow,rent,Office rent — April,Oxford Properties
2024-04-20,3600.00,outflow,software,Dev tools April,Software Vendors
2024-04-22,12000.00,outflow,marketing,Meta + Google + LinkedIn,Meta Google LinkedIn
2024-04-25,3500.00,outflow,payroll,Contractor — QA testing,Freelance
2024-04-28,650.00,outflow,utilities,Utilities April,Bell Canada
2024-05-03,31000.00,inflow,revenue,Monthly subscriptions — May,Vaultly Clients
2024-05-10,18000.00,outflow,cogs,Google Cloud Platform,Google Cloud
2024-05-12,2000.00,outflow,cogs,Stripe processing fees,Stripe Inc
2024-05-15,58000.00,outflow,payroll,Payroll — May,Internal Payroll
2024-05-17,5500.00,outflow,rent,Office rent — May,Oxford Properties
2024-05-20,3600.00,outflow,software,Dev tools May,Software Vendors
2024-05-22,13500.00,outflow,marketing,Meta + Google + LinkedIn,Meta Google LinkedIn
2024-05-25,4800.00,outflow,payroll,Contractor — growth,Freelance
2024-05-28,650.00,outflow,utilities,Utilities May,Bell Canada
2024-06-03,28000.00,inflow,revenue,Monthly subscriptions — June,Vaultly Clients
2024-06-10,19000.00,outflow,cogs,Google Cloud Platform,Google Cloud
2024-06-12,1800.00,outflow,cogs,Stripe processing fees,Stripe Inc
2024-06-15,58000.00,outflow,payroll,Payroll — June,Internal Payroll
2024-06-17,5500.00,outflow,rent,Office rent — June,Oxford Properties
2024-06-20,3600.00,outflow,software,Dev tools June,Software Vendors
2024-06-22,14000.00,outflow,marketing,Meta + Google + LinkedIn,Meta Google LinkedIn
2024-06-25,5200.00,outflow,payroll,Contractor — sales,Freelance
2024-06-28,650.00,outflow,utilities,Utilities June,Bell Canada
