date,amount,direction,category,description,merchant_name
2024-01-04,18000.00,inflow,revenue,Product subscriptions — January,Fendly Clients
2024-01-10,8500.00,outflow,cogs,AWS hosting — January,Amazon Web Services
2024-01-15,32000.00,outflow,payroll,Founders + 3 staff salaries,Internal Payroll
2024-01-18,2800.00,outflow,rent,WeWork hot desk plan,WeWork Toronto
2024-01-22,980.00,outflow,software,GitHub Vercel Figma,Dev Tools
2024-01-25,2200.00,outflow,marketing,Google Ads — January,Google LLC
2024-01-28,320.00,outflow,utilities,Phone internet January,Bell Canada
2024-02-04,17000.00,inflow,revenue,Product subscriptions — February,Fendly Clients
2024-02-06,3500.00,inflow,revenue,One-time setup fees,Fendly Clients
2024-02-10,9000.00,outflow,cogs,AWS hosting — February,Amazon Web Services
2024-02-15,32000.00,outflow,payroll,Founders + 3 staff salaries,Internal Payroll
2024-02-18,2800.00,outflow,rent,WeWork February,WeWork Toronto
2024-02-22,980.00,outflow,software,Dev tools February,Dev Tools
2024-02-25,1800.00,outflow,marketing,Google Ads — February,Google LLC
2024-02-28,320.00,outflow,utilities,Phone internet February,Bell Canada
2024-03-04,15000.00,inflow,revenue,Product subscriptions — March,Fendly Clients
2024-03-10,9200.00,outflow,cogs,AWS hosting — March,Amazon Web Services
2024-03-15,32000.00,outflow,payroll,Founders + 3 staff salaries,Internal Payroll
2024-03-18,2800.00,outflow,rent,WeWork March,WeWork Toronto
2024-03-22,980.00,outflow,software,Dev tools March,Dev Tools
2024-03-25,1500.00,outflow,marketing,Google Ads — March,Google LLC
2024-03-28,320.00,outflow,utilities,Phone internet March,Bell Canada
2024-04-04,19000.00,inflow,revenue,Product subscriptions — April,Fendly Clients
2024-04-06,6000.00,inflow,revenue,Enterprise pilot deal,Fendly Clients
2024-04-10,9500.00,outflow,cogs,AWS hosting — April,Amazon Web Services
2024-04-15,32000.00,outflow,payroll,Founders + 3 staff,Internal Payroll
2024-04-18,2800.00,outflow,rent,WeWork April,WeWork Toronto
2024-04-22,980.00,outflow,software,Dev tools April,Dev Tools
2024-04-25,2000.00,outflow,marketing,Google Ads — April,Google LLC
2024-04-28,320.00,outflow,utilities,Phone internet April,Bell Canada
2024-05-04,24000.00,inflow,revenue,Product subscriptions — May,Fendly Clients
2024-05-06,8000.00,inflow,revenue,Enterprise deal expansion,Fendly Clients
2024-05-10,10000.00,outflow,cogs,AWS hosting — May,Amazon Web Services
2024-05-15,36000.00,outflow,payroll,Founders + 4 staff (new hire),Internal Payroll
2024-05-18,2800.00,outflow,rent,WeWork May,WeWork Toronto
2024-05-22,1200.00,outflow,software,Dev tools May,Dev Tools
2024-05-25,2500.00,outflow,marketing,Google Ads + LinkedIn,Google LLC
2024-05-28,320.00,outflow,utilities,Phone internet May,Bell Canada
2024-06-04,29000.00,inflow,revenue,Product subscriptions — June,Fendly Clients
2024-06-06,10000.00,inflow,revenue,New enterprise contract,Fendly Clients
2024-06-10,10500.00,outflow,cogs,AWS hosting — June,Amazon Web Services
2024-06-15,36000.00,outflow,payroll,Founders + 4 staff,Internal Payroll
2024-06-18,2800.00,outflow,rent,WeWork June,WeWork Toronto
2024-06-22,1200.00,outflow,software,Dev tools June,Dev Tools
2024-06-25,3000.00,outflow,marketing,Google Ads + LinkedIn,Google LLC
2024-06-28,320.00,outflow,utilities,Phone internet June,Bell Canada
