date,amount,direction,category,description,merchant_name
2024-01-04,34000.00,inflow,revenue,Transaction fee revenue — January,Paysift Platform
2024-01-07,6000.00,inflow,revenue,B2B API licence fees,Paysift Platform
2024-01-10,9500.00,outflow,cogs,AWS + compliance infrastructure,Amazon Web Services
2024-01-12,3800.00,outflow,cogs,Banking API fees — Plaid Flinks,Plaid Inc
2024-01-13,1200.00,outflow,cogs,KYC identity verification costs,Persona Inc
2024-01-15,58000.00,outflow,payroll,Engineering + compliance team — 9 staff,Internal Payroll
2024-01-17,7200.00,outflow,rent,Office rent — Financial District Toronto,Brookfield Properties
2024-01-20,5800.00,outflow,software,Compliance + dev tooling stack,Compliance Vendors
2024-01-22,6500.00,outflow,marketing,Content + paid acquisition,Google LinkedIn
2024-01-28,750.00,outflow,utilities,Utilities January,Bell Canada
2024-02-04,31000.00,inflow,revenue,Transaction fee revenue — February,Paysift Platform
2024-02-07,5500.00,inflow,revenue,B2B API licence fees,Paysift Platform
2024-02-10,10000.00,outflow,cogs,AWS + compliance infrastructure,Amazon Web Services
2024-02-12,3900.00,outflow,cogs,Banking API fees — Plaid Flinks,Plaid Inc
2024-02-13,1400.00,outflow,cogs,KYC identity verification costs,Persona Inc
2024-02-15,58000.00,outflow,payroll,Engineering + compliance team,Internal Payroll
2024-02-17,7200.00,outflow,rent,Office rent — February,Brookfield Properties
2024-02-20,5800.00,outflow,software,Compliance + dev tooling,Compliance Vendors
2024-02-22,7200.00,outflow,marketing,Content + paid acquisition,Google LinkedIn
2024-02-28,750.00,outflow,utilities,Utilities February,Bell Canada
2024-03-04,29000.00,inflow,revenue,Transaction fee revenue — March,Paysift Platform
2024-03-07,4800.00,inflow,revenue,B2B API licence fees,Paysift Platform
2024-03-10,10500.00,outflow,cogs,AWS + compliance infrastructure,Amazon Web Services
2024-03-12,4100.00,outflow,cogs,Banking API fees — Plaid Flinks,Plaid Inc
2024-03-13,1600.00,outflow,cogs,KYC identity verification costs,Persona Inc
2024-03-15,62000.00,outflow,payroll,Engineering + compliance + new legal hire,Internal Payroll
2024-03-17,7200.00,outflow,rent,Office rent — March,Brookfield Properties
2024-03-20,5800.00,outflow,software,Compliance + dev tooling,Compliance Vendors
2024-03-22,8000.00,outflow,marketing,Content + paid acquisition,Google LinkedIn
2024-03-25,4500.00,outflow,payroll,Legal consultant — regulatory filing,External Legal
2024-03-28,750.00,outflow,utilities,Utilities March,Bell Canada
2024-04-04,26000.00,inflow,revenue,Transaction fee revenue — April,Paysift Platform
2024-04-07,4200.00,inflow,revenue,B2B API licence fees,Paysift Platform
2024-04-10,11000.00,outflow,cogs,AWS + compliance infrastructure,Amazon Web Services
2024-04-12,4300.00,outflow,cogs,Banking API fees — Plaid Flinks,Plaid Inc
2024-04-13,1800.00,outflow,cogs,KYC identity verification costs,Persona Inc
2024-04-15,62000.00,outflow,payroll,Full team payroll — April,Internal Payroll
2024-04-17,7200.00,outflow,rent,Office rent — April,Brookfield Properties
2024-04-20,5800.00,outflow,software,Compliance + dev tooling,Compliance Vendors
2024-04-22,8500.00,outflow,marketing,Content + paid acquisition,Google LinkedIn
2024-04-25,6200.00,outflow,payroll,Legal consultant — April,External Legal
2024-04-28,750.00,outflow,utilities,Utilities April,Bell Canada
2024-05-04,24000.00,inflow,revenue,Transaction fee revenue — May,Paysift Platform
2024-05-07,3800.00,inflow,revenue,B2B API licence fees,Paysift Platform
2024-05-10,11500.00,outflow,cogs,AWS + compliance infrastructure,Amazon Web Services
2024-05-12,4500.00,outflow,cogs,Banking API fees — Plaid Flinks,Plaid Inc
2024-05-13,2000.00,outflow,cogs,KYC identity verification costs,Persona Inc
2024-05-15,62000.00,outflow,payroll,Full team payroll — May,Internal Payroll
2024-05-17,7200.00,outflow,rent,Office rent — May,Brookfield Properties
2024-05-20,5800.00,outflow,software,Compliance + dev tooling,Compliance Vendors
2024-05-22,9000.00,outflow,marketing,Content + paid acquisition,Google LinkedIn
2024-05-25,5800.00,outflow,payroll,Legal consultant — May,External Legal
2024-05-28,750.00,outflow,utilities,Utilities May,Bell Canada
2024-06-04,22000.00,inflow,revenue,Transaction fee revenue — June,Paysift Platform
2024-06-07,3200.00,inflow,revenue,B2B API licence fees,Paysift Platform
2024-06-10,12000.00,outflow,cogs,AWS + compliance infrastructure,Amazon Web Services
2024-06-12,4700.00,outflow,cogs,Banking API fees — Plaid Flinks,Plaid Inc
2024-06-13,2200.00,outflow,cogs,KYC identity verification costs,Persona Inc
2024-06-15,62000.00,outflow,payroll,Full team payroll — June,Internal Payroll
2024-06-17,7200.00,outflow,rent,Office rent — June,Brookfield Properties
2024-06-20,5800.00,outflow,software,Compliance + dev tooling,Compliance Vendors
2024-06-22,9500.00,outflow,marketing,Content + paid acquisition,Google LinkedIn
2024-06-25,6500.00,outflow,payroll,Legal consultant — June,External Legal
2024-06-28,750.00,outflow,utilities,Utilities June,Bell Canada
