date,amount,direction,category,description,merchant_name
2024-01-03,62000.00,inflow,revenue,Marketplace GMV commission — January,Tradeloop Platform
2024-01-05,11000.00,inflow,revenue,Premium seller subscriptions,Tradeloop Platform
2024-01-08,4200.00,inflow,revenue,Advertising revenue — January,Tradeloop Advertisers
2024-01-10,16000.00,outflow,cogs,AWS + Cloudflare infrastructure,Amazon Web Services
2024-01-12,4500.00,outflow,cogs,Payment processing fees Stripe,Stripe Inc
2024-01-15,68000.00,outflow,payroll,Full team payroll — 11 staff,Internal Payroll
2024-01-17,6800.00,outflow,rent,Office rent — Liberty Village,Choice Properties
2024-01-20,4100.00,outflow,software,Segment Mixpanel Intercom Hubspot,SaaS Stack
2024-01-22,12000.00,outflow,marketing,Performance marketing — January,Google Meta
2024-01-25,3200.00,outflow,payroll,Contractor — customer success,Freelance
2024-01-28,800.00,outflow,utilities,Utilities January,Bell Canada
2024-02-03,71000.00,inflow,revenue,Marketplace GMV commission — February,Tradeloop Platform
2024-02-05,12500.00,inflow,revenue,Premium seller subscriptions,Tradeloop Platform
2024-02-08,3800.00,inflow,revenue,Advertising revenue — February,Tradeloop Advertisers
2024-02-10,17200.00,outflow,cogs,AWS + Cloudflare infrastructure,Amazon Web Services
2024-02-12,5100.00,outflow,cogs,Payment processing fees Stripe,Stripe Inc
2024-02-15,68000.00,outflow,payroll,Full team payroll — 11 staff,Internal Payroll
2024-02-17,6800.00,outflow,rent,Office rent — February,Choice Properties
2024-02-20,4100.00,outflow,software,SaaS stack — February,SaaS Stack
2024-02-22,13500.00,outflow,marketing,Performance marketing — February,Google Meta
2024-02-25,2800.00,outflow,payroll,Contractor — design,Freelance
2024-02-28,800.00,outflow,utilities,Utilities February,Bell Canada
2024-03-03,48000.00,inflow,revenue,Marketplace GMV commission — March,Tradeloop Platform
2024-03-05,11000.00,inflow,revenue,Premium seller subscriptions,Tradeloop Platform
2024-03-08,2200.00,inflow,revenue,Advertising revenue — March,Tradeloop Advertisers
2024-03-10,17500.00,outflow,cogs,AWS + Cloudflare infrastructure,Amazon Web Services
2024-03-12,3800.00,outflow,cogs,Payment processing fees Stripe,Stripe Inc
2024-03-15,72000.00,outflow,payroll,Full team + new PM hire,Internal Payroll
2024-03-17,6800.00,outflow,rent,Office rent — March,Choice Properties
2024-03-20,4100.00,outflow,software,SaaS stack — March,SaaS Stack
2024-03-22,15000.00,outflow,marketing,Performance marketing — March,Google Meta
2024-03-25,4500.00,outflow,payroll,Contractor — data engineering,Freelance
2024-03-28,800.00,outflow,utilities,Utilities March,Bell Canada
2024-04-03,55000.00,inflow,revenue,Marketplace GMV commission — April,Tradeloop Platform
2024-04-05,13000.00,inflow,revenue,Premium seller subscriptions,Tradeloop Platform
2024-04-08,4800.00,inflow,revenue,Advertising revenue — April,Tradeloop Advertisers
2024-04-10,18000.00,outflow,cogs,AWS + Cloudflare infrastructure,Amazon Web Services
2024-04-12,4200.00,outflow,cogs,Payment processing fees Stripe,Stripe Inc
2024-04-15,72000.00,outflow,payroll,Full team payroll — 12 staff,Internal Payroll
2024-04-17,6800.00,outflow,rent,Office rent — April,Choice Properties
2024-04-20,4100.00,outflow,software,SaaS stack — April,SaaS Stack
2024-04-22,14000.00,outflow,marketing,Performance marketing — April,Google Meta
2024-04-25,3800.00,outflow,payroll,Contractor — operations,Freelance
2024-04-28,800.00,outflow,utilities,Utilities April,Bell Canada
2024-05-03,79000.00,inflow,revenue,Marketplace GMV commission — May,Tradeloop Platform
2024-05-05,14000.00,inflow,revenue,Premium seller subscriptions,Tradeloop Platform
2024-05-08,6200.00,inflow,revenue,Advertising revenue — May,Tradeloop Advertisers
2024-05-10,19000.00,outflow,cogs,AWS + Cloudflare infrastructure,Amazon Web Services
2024-05-12,5800.00,outflow,cogs,Payment processing fees Stripe,Stripe Inc
2024-05-15,72000.00,outflow,payroll,Full team payroll,Internal Payroll
2024-05-17,6800.00,outflow,rent,Office rent — May,Choice Properties
2024-05-20,4100.00,outflow,software,SaaS stack — May,SaaS Stack
2024-05-22,16000.00,outflow,marketing,Performance marketing — May,Google Meta
2024-05-25,4200.00,outflow,payroll,Contractor — growth,Freelance
2024-05-28,800.00,outflow,utilities,Utilities May,Bell Canada
2024-06-03,66000.00,inflow,revenue,Marketplace GMV commission — June,Tradeloop Platform
2024-06-05,14500.00,inflow,revenue,Premium seller subscriptions,Tradeloop Platform
2024-06-08,5100.00,inflow,revenue,Advertising revenue — June,Tradeloop Advertisers
2024-06-10,19500.00,outflow,cogs,AWS + Cloudflare infrastructure,Amazon Web Services
2024-06-12,5200.00,outflow,cogs,Payment processing fees Stripe,Stripe Inc
2024-06-15,72000.00,outflow,payroll,Full team payroll,Internal Payroll
2024-06-17,6800.00,outflow,rent,Office rent — June,Choice Properties
2024-06-20,4100.00,outflow,software,SaaS stack — June,SaaS Stack
2024-06-22,17000.00,outflow,marketing,Performance marketing — June,Google Meta
2024-06-25,3600.00,outflow,payroll,Contractor — partnerships,Freelance
2024-06-28,800.00,outflow,utilities,Utilities June,Bell Canada
