date,amount,direction,category,description,merchant_name
2024-01-05,85000.00,inflow,revenue,SaaS subscriptions — January,NorthStack Clients
2024-01-08,12000.00,inflow,revenue,Professional services — onboarding,NorthStack Clients
2024-01-10,18500.00,outflow,cogs,AWS infrastructure — January,Amazon Web Services
2024-01-12,3200.00,outflow,cogs,Twilio SMS API usage,Twilio Inc
2024-01-15,48000.00,outflow,payroll,Payroll — January,Internal Payroll
2024-01-18,4200.00,outflow,rent,Office rent — King St Toronto,Cadillac Fairview
2024-01-20,1800.00,outflow,software,Notion Slack Figma Linear,SaaS Vendors
2024-01-25,3500.00,outflow,marketing,Google Ads — January,Google LLC
2024-01-28,900.00,outflow,utilities,Internet hydro phone,Bell Canada
2024-02-05,91000.00,inflow,revenue,SaaS subscriptions — February,NorthStack Clients
2024-02-07,8500.00,inflow,revenue,Professional services,NorthStack Clients
2024-02-10,19200.00,outflow,cogs,AWS infrastructure — February,Amazon Web Services
2024-02-12,3400.00,outflow,cogs,Twilio API usage — February,Twilio Inc
2024-02-15,48000.00,outflow,payroll,Payroll — February,Internal Payroll
2024-02-18,4200.00,outflow,rent,Office rent — February,Cadillac Fairview
2024-02-20,1800.00,outflow,software,SaaS tools — February,SaaS Vendors
2024-02-25,3800.00,outflow,marketing,Google Ads — February,Google LLC
2024-02-28,900.00,outflow,utilities,Internet hydro phone,Bell Canada
2024-03-05,98000.00,inflow,revenue,SaaS subscriptions — March,NorthStack Clients
2024-03-07,14000.00,inflow,revenue,New enterprise contract,NorthStack Clients
2024-03-10,20100.00,outflow,cogs,AWS infrastructure — March,Amazon Web Services
2024-03-12,3600.00,outflow,cogs,Twilio API usage — March,Twilio Inc
2024-03-15,52000.00,outflow,payroll,Payroll — March + new hire,Internal Payroll
2024-03-18,4200.00,outflow,rent,Office rent — March,Cadillac Fairview
2024-03-20,1800.00,outflow,software,SaaS tools — March,SaaS Vendors
2024-03-22,4500.00,outflow,marketing,Google Ads + LinkedIn,Google LLC
2024-03-28,900.00,outflow,utilities,Internet hydro phone,Bell Canada
2024-04-05,104000.00,inflow,revenue,SaaS subscriptions — April,NorthStack Clients
2024-04-07,11000.00,inflow,revenue,Professional services,NorthStack Clients
2024-04-10,21000.00,outflow,cogs,AWS infrastructure — April,Amazon Web Services
2024-04-12,3800.00,outflow,cogs,Twilio API usage — April,Twilio Inc
2024-04-15,52000.00,outflow,payroll,Payroll — April,Internal Payroll
2024-04-18,4200.00,outflow,rent,Office rent — April,Cadillac Fairview
2024-04-20,1800.00,outflow,software,SaaS tools — April,SaaS Vendors
2024-04-25,4800.00,outflow,marketing,Google Ads + LinkedIn,Google LLC
2024-04-28,900.00,outflow,utilities,Internet hydro phone,Bell Canada
2024-05-05,112000.00,inflow,revenue,SaaS subscriptions — May,NorthStack Clients
2024-05-07,9500.00,inflow,revenue,Professional services,NorthStack Clients
2024-05-10,22000.00,outflow,cogs,AWS infrastructure — May,Amazon Web Services
2024-05-12,4100.00,outflow,cogs,Twilio API usage — May,Twilio Inc
2024-05-15,52000.00,outflow,payroll,Payroll — May,Internal Payroll
2024-05-18,4200.00,outflow,rent,Office rent — May,Cadillac Fairview
2024-05-20,2100.00,outflow,software,SaaS tools — May,SaaS Vendors
2024-05-25,5200.00,outflow,marketing,Google Ads + LinkedIn,Google LLC
2024-05-28,900.00,outflow,utilities,Internet hydro phone,Bell Canada
2024-06-05,119000.00,inflow,revenue,SaaS subscriptions — June,NorthStack Clients
2024-06-07,16000.00,inflow,revenue,New enterprise deal,NorthStack Clients
2024-06-10,23000.00,outflow,cogs,AWS infrastructure — June,Amazon Web Services
2024-06-12,4300.00,outflow,cogs,Twilio API usage — June,Twilio Inc
2024-06-15,56000.00,outflow,payroll,Payroll — June + bonus,Internal Payroll
2024-06-18,4200.00,outflow,rent,Office rent — June,Cadillac Fairview
2024-06-20,2100.00,outflow,software,SaaS tools — June,SaaS Vendors
2024-06-25,5500.00,outflow,marketing,Google Ads + LinkedIn,Google LLC
2024-06-28,900.00,outflow,utilities,Internet hydro phone,Bell Canada
